# x_local, y_local
455326.0236,4443618.2563
455326.0735,4443618.2526
455326.1233,4443618.2481
455326.1730,4443618.2425
455326.2225,4443618.2367
455326.2720,4443618.2309
455326.3215,4443618.2255
455326.3709,4443618.2200
455326.4204,4443618.2142
455326.4698,4443618.2085
455326.5194,4443618.2030
455326.5691,4443618.1987
455326.6188,4443618.1942
455326.6685,4443618.1891
455326.7182,4443618.1847
455326.7679,4443618.1805
455326.8177,4443618.1766
455326.8674,4443618.1714
455326.9168,4443618.1642
455326.9659,4443618.1548
455327.0147,4443618.1441
455327.0634,4443618.1329
455327.1122,4443618.1221
455327.1610,4443618.1122
455327.2101,4443618.1036
455327.2594,4443618.0964
455327.3090,4443618.0904
455327.3586,4443618.0842
455327.4080,4443618.0771
455327.4571,4443618.0685
455327.5059,4443618.0577
455327.5543,4443618.0447
455327.6025,4443618.0315
455327.6507,4443618.0188
455327.6993,4443618.0078
455327.7481,4443617.9980
455327.7970,4443617.9885
455327.8456,4443617.9784
455327.8940,4443617.9671
455327.9422,4443617.9552
455327.9904,4443617.9427
455328.0383,4443617.9291
455328.0861,4443617.9152
455328.1337,4443617.9004
455328.1814,4443617.8863
455328.2295,4443617.8738
455328.2776,4443617.8616
455328.3255,4443617.8489
455328.3731,4443617.8352
455328.4209,4443617.8218
455328.4687,4443617.8088
455328.5164,4443617.7947
455328.5637,4443617.7791
455328.6108,4443617.7617
455328.6582,4443617.7460
455328.7065,4443617.7336
455328.7551,4443617.7229
455328.8039,4443617.7136
455328.8530,4443617.7050
455328.9024,4443617.6976
455328.9519,4443617.6909
455329.0013,4443617.6837
455329.0507,4443617.6756
455329.1000,4443617.6675
455329.1494,4443617.6595
455329.1985,4443617.6508
455329.2474,4443617.6409
455329.2961,4443617.6299
455329.3445,4443617.6177
455329.3927,4443617.6047
455329.4408,4443617.5908
455329.4888,4443617.5769
455329.5370,4443617.5639
455329.5855,4443617.5523
455329.6343,4443617.5413
455329.6828,4443617.5298
455329.7311,4443617.5175
455329.7793,4443617.5049
455329.8274,4443617.4917
455329.8752,4443617.4772
455329.9224,4443617.4610
455329.9694,4443617.4440
455330.0163,4443617.4270
455330.0634,4443617.4107
455330.1108,4443617.3956
455330.1586,4443617.3815
455330.2064,4443617.3676
455330.2543,4443617.3540
455330.3026,4443617.3413
455330.3506,4443617.3280
455330.3981,4443617.3129
455330.4450,4443617.2961
455330.4918,4443617.2787
